Titolo;Tipologia accordo;Settore;Contraenti;Data stipula;Data decorrenza;Data scadenza economica;Data scadenza contrattuale;Categoria
"Contratto di lavoro del 28/11/2013";"Testo definitivo";"Enti e Istituzioni Private";"ASPA;UGL SCUOLA";"28/11/2013";"19/09/2013";"18/09/2015";"18/09/2017";"SCUOLE PARITARIE: ASPA UGL"
"Sottoscrizione da parte della Ugl Agricoli e Forestali del CCNL 7 dicembre 2010 per i lavoratori addetti ad attività di sistemazione idraulico-forestale ed idraulico-agraria";"Verbale integrativo";"Agricoltura";"UNCEM;UGL AGRICOLI E FORESTALI";"02/02/2011";"01/01/2010";"";"31/12/2012";"SISTEMAZIONI IDRAULICO FORESTALI"
"CCNL per gli operai agricoli, florovivaisti e dell'acquacoltura";"Testo definitivo";"Agricoltura";"CONFIMPRESE AGRICOLTURA;CONFIMPRESEITALIA;FESICA CONFSAL;CONFSAL FISALS;CONFSALPESCA";"24/10/2014";"01/11/2014";"";"31/10/2017";"AGRICOLTURA: Operai agricoli, florovivaisti e dell'acquacoltura"
"Accordo per il personale delle altre carriere della Banca d'Italia nell'ambito della trattativa 2006-2009";"Verbale Integrativo";"Credito Assicurazioni";"BANCA D'ITALIA;FISAC CGIL;SIBC CISAL;FABI;FIBA CISL;UILCA UIL";"04/11/2009";"";"";"";"BANCARI: Banca D'Italia - carriera Operativa"
"Accordo 4 aprile 2013 di rinnovo del CCNL per gli addetti all'industria Chimica-Farmaceutica Settore Coibentazioni Termiche Acustiche";"Accordo di rinnovo";"Chimici";"ANICTA; FEMCA CISL; FILCTEM CGIL; UILTEC UIL";"04/04/2013";"01/01/2013";"";"31/12/2015";"COIBENTAZIONI TERMICHE ACUSTICHE"
"CCNL per i dipendenti delle aziende videofonografiche";"Testo definitivo";"Poligrafici e Spettacolo";"AFI;FIMI;PMI;UNIVIDEO;ASSOLOMBARDA;SLC CGIL;FISTEL CISL;UILCOM UIL";"27/10/2014";"01/01/2014";"";"31/12/2016";"DISCOGRAFICI - VIDEOFONOGRAFICI"
"Ipotesi di accordo per il rinnovo del CCNL 19 novembre 2013 Area Alimentazione-Panificazione";"Accordo di rinnovo";"Alimentaristi - Agroindustriale";"CNA Alimentare;CONFARTIGIANATO Alimentazione;CASARTIGIANI;CLAAI;FLAI CGIL;FAI CISL;UILA UIL";"23/02/2017";"01/01/2016";"";"31/12/2018";"ALIMENTARISTI: Artigiane"
"CCNL per la piccola e media industria manifatturiera metalmeccanica e della installazione di impianti";"Testo definitivo";"Meccanici";"CONFIMI IMPRESA MECCANICA;FIM CISL;UILM UIL";"01/10/2013";"01/09/2013";"";"31/05/2016";"METALMECCANICA: P.M.I. - CONFIMI"
"Ipotesi di accordo per il rinnovo del CCNL per i dipendenti da aziende del settore TURISMO";"Accordo di rinnovo";"Commercio";"FEDERALBERGHI;FAITA;CONFCOMMERCIO IMPRESE PER L'ITALIA;FILCAMS CGIL;FISASCAT CISL;UILTUCS UIL";"18/01/2014";"01/05/2013";"";"31/08/2016";"TURISMO (AZIENDE CONFCOMMERCIO)"
"Accordo collettivo nazionale di lavoro per i mediatori dei crediti";"Accordo di rinnovo";"Credito Assicurazioni";"FENAFI;UFIC;CONFIMPRESEITALIA;CIDEC;CEPI UCI;FENAILP;ASSIMEC;ASSOPROFESSIONAL;SIMEDIA UGL;ASSOCRED";"17/02/2011";"01/03/2011";"";"28/02/2015";"MEDIATORI DEI CREDITI"
