type|code|description|section
SECTION|A|AGRICOLTURA| SILVICOLTURA E PESCA
DIVISION|01|Produzioni vegetali e animali| caccia e servizi connessi|A
GROUP|01.1|Coltivazione di colture agricole non permanenti|A
GROUP|01.11|Coltivazione di cereali| legumi da granella e semi oleosi| escluso il riso|A
CLASS|01.11.0|Coltivazione di cereali| legumi da granella e semi oleosi| escluso il riso|A
CLASS|01.11.00|Coltivazione di cereali| legumi da granella e semi oleosi| escluso il riso|A
GROUP|01.12|Coltivazione di riso|A
CLASS|01.12.0|Coltivazione di riso|A
CLASS|01.12.00|Coltivazione di riso|A
GROUP|01.13|Coltivazione di ortaggi e meloni| radici e tuberi|A
CLASS|01.13.1|Coltivazione di ortaggi e meloni|A
CLASS|01.13.11|Coltivazione di ortaggi e meloni in piena aria|A
CLASS|01.13.12|Coltivazione di ortaggi e meloni in colture protette fuori suolo|A
CLASS|01.13.13|Coltivazione di ortaggi e meloni in altre colture protette| escluse colture fuori suolo|A
CLASS|01.13.2|Coltivazione di radici| incluse barbabietole da zucchero|A
CLASS|01.13.20|Coltivazione di radici| incluse barbabietole da zucchero|A
CLASS|01.13.3|Coltivazione di tuberi| incluse patate|A
CLASS|01.13.30|Coltivazione di tuberi| incluse patate|A
GROUP|01.14|Coltivazione di canna da zucchero|A
CLASS|01.14.0|Coltivazione di canna da zucchero|A
CLASS|01.14.00|Coltivazione di canna da zucchero|A
GROUP|01.15|Coltivazione di tabacco|A
CLASS|01.15.0|Coltivazione di tabacco|A
CLASS|01.15.00|Coltivazione di tabacco|A
GROUP|01.16|Coltivazione di piante tessili|A
CLASS|01.16.0|Coltivazione di piante tessili|A
CLASS|01.16.00|Coltivazione di piante tessili|A
GROUP|01.19|Coltivazione di altre colture agricole non permanenti|A
CLASS|01.19.1|Coltivazione di fiori|A
CLASS|01.19.11|Coltivazione di fiori in piena aria|A
CLASS|01.19.12|Coltivazione di fiori in colture protette fuori suolo|A
CLASS|01.19.13|Coltivazione di fiori in altre colture protette| escluse colture fuori suolo|A
CLASS|01.19.9|Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.|A
CLASS|01.19.90|Coltivazione di piante da foraggio e di altre colture agricole non permanenti n.c.a.|A
GROUP|01.2|Coltivazione di colture agricole permanenti|A
GROUP|01.21|Coltivazione di uva|A
CLASS|01.21.0|Coltivazione di uva|A
CLASS|01.21.00|Coltivazione di uva|A
GROUP|01.22|Coltivazione di frutta di origine tropicale e subtropicale|A
CLASS|01.22.0|Coltivazione di frutta di origine tropicale e subtropicale|A
CLASS|01.22.00|Coltivazione di frutta di origine tropicale e subtropicale|A
GROUP|01.23|Coltivazione di agrumi|A
CLASS|01.23.0|Coltivazione di agrumi|A
CLASS|01.23.00|Coltivazione di agrumi|A
GROUP|01.24|Coltivazione di pomacee e frutta a nocciolo|A
CLASS|01.24.0|Coltivazione di pomacee e frutta a nocciolo|A
CLASS|01.24.00|Coltivazione di pomacee e frutta a nocciolo|A
GROUP|01.25|Coltivazione di altri alberi da frutto| frutti di bosco e frutta in guscio|A
